Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
JYXHIYUOPFXQIM-UHFFFAOYNA-N,CHEMBL433376,1813,A,7.55,chembl20,60203,9606,DRD2,1171,C1=2C=3N(N=CC3CCCC1=C(C)OC2C)C
KLNKJWNIWSXCQK-LBOYIXSDNA-N,44415535,1813,A,5.75056,pubchem,270038,9606,DRD2,1171,ClC1=CC=2N=C(N3CCN(CC3)C)C4=C(N(NC(=O)C5CCCCC5)C2C=C1)C=CC=C4
WUEHCYPOVQCXIO-AWHHBVKZNA-N,11326600,1813,A,7.87943,pubchem,1113286,9606,DRD2,1171,SC=1NC2=CC(OCCN3CCN(CC3)C4=CC(OC)=CC=C4)=CC=C2N1
XKAIELUQYYUCFN-UHFFFAOYNA-N,CHEMBL1771114,1813,A,8.06,chembl20,744157,9606,DRD2,1171,C1=CC=2C(N(CCC2C=C1C#C)CCCCN3CCN(CC3)C4=C(C=CC=C4)OC)=O
GKCVNAHJIZRKPK-PKRZOPRNNA-N,CHEMBL221513,1813,A,6.58,chembl20,444912,9606,DRD2,1171,C=1C=C2C(CCCC2=CC1)NC(=O)CCCCCN3CCN(CC3)C4=CC=CC=C4C#N
GESNZTWIXMSIMZ-UHFFFAOYNA-N,45273529,1813,A,7.10002,pubchem,447411,9606,DRD2,1171,ClC=1C=C(N2CCN(CCN3CC(OCC4=CC=CC=C4)CCC3)C2=O)C=CC1
VFOLOUVNAQBRDB-UHFFFAOYNA-N,90644061,1813,A,5.98047,pubchem,1152404,9606,DRD2,1171,FC1=CC=C(OCCCN2CCN(CC2)C=3N=CC(=CC3)C)C=C1
QWSFTRIYSPEGEX-UHFFFAOYNA-N,25069354,1813,A,7.6517,pubchem,516804,9606,DRD2,1171,FC1=C(OCCCCN2CCN(CC2)C=3C=4C(C=CC3)=CC=CC4)C=CC=5C1=C(O)NC5
VTBKJNQAKCEEEL-UHFFFAOYNA-N,CHEMBL557409,1813,A,5.47,chembl20,60221,9606,DRD2,1171,N1=C(C=C(O1)CCCCN2CCN(CC2)C=3C=CC=CC3)C4=CC(=C(C=C4)OC)OC
PGWINTIXBMKEKI-UHFFFAOYNA-N,CHEMBL194510,1813,A,7.81,chembl20,320895,9606,DRD2,1171,N1C2=C(C=CC=C2Cl)C(=C1)CCCN3CCN(CC3)C4=C5C(OCCO5)=CC=C4
JFLBTRDHDHTNGX-UHFFFAOYNA-N,CHEMBL367045,1813,A,7.89,chembl20,60365,9606,DRD2,1171,C1(=CN2C(=CC=C2)SC=3C1=CC=CC3)N4CCN(CC4)C
SDAMYSWGWHXMRT-HZGZCFITNA-N,CHEMBL370457,1813,A,8.33,chembl20,320895,9606,DRD2,1171,C=12O[C@@H](C)C(NC1C=CC=C2N3CCN(CC3)CCCC=4C=5C(=CC=C(C5)F)NC4)=O
VJYRFSZIRUISDG-UHFFFAOYNA-N,CHEMBL3286577,1813,A,6.7,chembl20,1361497,9606,DRD2,1171,C1CN2C(CN1CC3=CC=CC=C3C4=CC=CC=C4)CC=5C6=C2C=CC=C6NC5
YXZGHORSXLWFQX-HXTKINSTNA-N,CHEMBL337531,1813,A,7.32,chembl20,61809,9606,DRD2,1171,C(=CC=1C=CC=CC1)C(=O)NCCCCN2CCN(CC2)C3=C(C(Cl)=CC=C3)Cl
FNZOOYYZKQCPEG-HXTKINSTNA-N,56599147,1813,A,6.70115,pubchem,698921,9606,DRD2,1171,ClC1=C(N2CCN(CC2)CC#CCOC=3C=C4NC(=O)CCC4=CC3)C=CC=C1Cl
GBAMNIHBRPISDN-ZYMSVLFVNA-N,44415612,1813,A,6.56225,pubchem,270038,9606,DRD2,1171,ClC1=CC=2N=C(N3CCN(CC3)C)C4=C(N(NC(=O)C=5C=6C(C=CC5OCC)=CC=CC6)C2C=C1)C=CC=C4
ABUDXXYFKLCSKO-VJSLDGLSNA-N,CHEMBL2059319,1813,A,7.05,chembl20,829291,9606,DRD2,1171,C1C(CCN(CCCN2C(=O)CCC3=C2C=C(C=C3)F)C1)N4C=5C(N=C4O)=CC=CC5
AZAYZAMZAPQNBH-SREBMQDQNA-N,CHEMBL386122,1813,A,6.62,chembl20,391332,9606,DRD2,1171,C=1C=C2C(N=C(N3CCN(CC3)C)C=4C(N2NC(C=5C(=CC=CC5Cl)Cl)=O)=CC=CC4)=CC1Cl
FBWUQEIVZSYNQZ-UHFFFAOYNA-N,CHEMBL122165,1813,A,6.29,chembl20,59887,9606,DRD2,1171,C=12C(C3(CCN(CC3)CCC4=CC=CC=C4)CCC1C=C(F)C=C2F)=O
WQWCHMWUOFCWFU-UHFFFAOYNA-N,CHEMBL396950,1813,A,6.07,chembl20,445432,9606,DRD2,1171,C1CNCCC=2C=CC=CC2CC=3C(=CC(=CC3)O)C1
SEVLDDAIFKZMCD-JTKSJCOONA-N,CHEMBL2062849,1813,A,5.77,chembl20,832284,9606,DRD2,1171,[C@@H]1([C@@H]2[C@H]([C@H](CO)[C@@H]2CN1CC3=CC=CC=C3)N(CC)CC)C4=CC=CC=C4
ZLUCWPDQINEIOK-UHFFFAOYNA-N,90644065,1813,A,5.40209,pubchem,1152404,9606,DRD2,1171,ClC1=CC=C(N2CCN(CC2)CCCC=3OC=4C(N3)=CC=CC4)C=C1
SMYALUSCZJXWHG-LQFNOIFHNA-N,CHEMBL62919,1813,A,7.21,chembl20,563485,9606,DRD2,1171,N1(C(NC=2C(C1=O)=CC=CC2)=S)CCN3CCC(C(C4=CC=C(C=C4)F)=O)CC3
UDLOEFIJNKLNAS-UHFFFAOYNA-N,CHEMBL124234,1813,A,7.43,chembl20,59887,9606,DRD2,1171,C1(C(CCC2=C1C=CC=C2)C3CCN(CC3)CC4=CC=C(C=C4)C)=O
