Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
USGLWFZAXHASGB-UHFFFAOYNA-N,CHEMBL2037528,1813,A,5.32,chembl20,820694,9606,DRD2,1171,C(CCCCN1CCN(CC1)C=2C=CC(=CC2)Cl)(=O)C=3SC=4C(N3)=CC=CC4
CZOXEMUHIJZXSF-UHFFFAOYNA-N,CHEMBL2037432,1813,A,6.7,chembl20,820694,9606,DRD2,1171,N1(CCC(CC1)(O)C=2C=CC(=CC2)Cl)CCCCC=3SC=4C(N3)=CC=CC4
WEVJMQOBCRCIPF-UHFFFAOYNA-N,CHEMBL140872,1813,A,7.01,chembl20,797751,9606,DRD2,1171,C1=C(C=CC(C(=O)CCCN2CCN(CC2)C=3N=CC=CN3)=C1)F
SIMNKURLSFAWDZ-UHFFFAOYNA-N,CHEMBL1631545,1813,A,6.4,chembl20,689727,9606,DRD2,1171,C=1C=CC2=C(C1N3CCN(CC3)CCC4=CC(=CC=C4)N5N=CC=C5)C=CC(=N2)C
IZRKKTGXKLIJDE-GOSISDBHNA-N,CHEMBL65847,1813,A,6.75,chembl20,60222,9606,DRD2,1171,C1=2C(C[C@H](N(CC3=CC=CC=C3)CCC)CC1)=CC=CC2F
BLVKQYQCYGVTBD-UHFFFAOYNA-N,CHEMBL2420891,1813,A,6.42,chembl20,977647,9606,DRD2,1171,N1(CCN(CC1)C=2C(=C(C=CC2)Cl)Cl)CC=3C=4C(SC3)=CC=CC4
QZAYGJVTTNCVMB-UHFFFAOYNA-N,CHEMBL39,1813,A,12.52,chembl20,59782,9606,DRD2,1171,OC1=CC2=C(C=C1)NC=C2CCN
XYPNSIBKATVQIJ-LQXYWIDZNA-N,CHEMBL309336,1813,A,7.94,chembl20,58455,9606,DRD2,1171,C(C1=C(C=CS1)C)(N[C@H]2CC[C@H](CCN3CCN(CC3)C=4C(=C(Cl)C=CC4)Cl)CC2)=O
KPJZHOPZRAFDTN-YBSCGTCVNA-N,CHEMBL1065,1813,A,6.57,chembl20,774751,9606,DRD2,1171,C1=2C3=C4C(N(C)C=C4C[C@H]1N(C)C[C@@H](C2)C(N[C@H](CO)CC)=O)=CC=C3
VLPGZLXTGTZSSM-PKOBYXMFNA-N,CHEMBL591685,1813,A,5.68,chembl20,609556,9606,DRD2,1171,C=1(C(=CC2=C(C1)CCN([C@@H]3[C@@H]2C=4C(CC3)=C(C=CC4)N)C)O)Cl
ZCJYRUIJZMZVJE-HXTKINSTNA-N,CHEMBL1632206,1813,A,6.4,chembl20,689727,9606,DRD2,1171,C1=C(N2CCN(CC2)CCC=3C=C(C=CC3)NC(C)=O)C=4C=CC(=NC4C=C1)C
MJWBNONYVUDZCQ-PKSOQXRJNA-N,CHEMBL216794,1813,A,5.46,chembl20,422482,9606,DRD2,1171,C1=CC(C(NCN2CCC(CC2)C=3C=CC=CN3)=O)=CC(C)=C1
KUBIIYUHICAQBT-LBOYIXSDNA-N,90645290,1813,A,8.04096,pubchem,1157839,9606,DRD2,1171,S1C(C(=O)NCCCCCN2CCN(CC2)C=3C(OC)=CC=CC3)=C(N)C4=C1N=C(C=C4C)C
WAOZNBXSEVIAGX-ZOCCRIKBNA-N,CHEMBL2032049,1813,A,5.5,chembl20,818583,9606,DRD2,1171,C=1(C=CC2=C(C1)C=3[C@@H]([C@H]4CN(CC[C@@H]4CC3N2)CCC5(CCCCC5)C(=O)O)C)C(F)(F)F
AFECYHQHVIVPNI-UHFFFAOYNA-N,CHEMBL108289,1813,A,7.62,chembl20,60069,9606,DRD2,1171,N1(C(=NC=2C1=CC=CC2)CCC3=CC=C(C(=O)OC)C=C3)CC4=CC=C(C=C4)Cl
XSWNCWHBCPRVSC-UHFFFAOYNA-N,21345773,1813,A,6.52288,pubchem,736004,9606,DRD2,1171,O(C=1C=C(N2CCN(CC2)CCC)C=CC1)C
CNKNJMJEVKMFAR-UHFFFAOYNA-N,CHEMBL389357,1813,A,7.61,chembl20,491080,9606,DRD2,1171,C1(OC)=CC=C2C(=C1)CCCN(CCC3=C(C2)C=CC=C3)C
UKPYAHVTVCYHSG-CTXDPNEZNA-N,49781476,1813,A,6.4,pubchem,517697,9606,DRD2,1171,S(CCCN1[C@H]2CC[C@@H]1CC(C2)C3=CC=C(C=C3)C(F)(F)F)C=4N(C(=NN4)C=5OC=NC5C)C
ATFLUEAKGONIBT-LQFNOIFHNA-N,72736555,1813,A,7.36998,pubchem,1054309,9606,DRD2,1171,ClC1=C(N2CCN(CC3CCC(CC3)CNC(=O)N(C)C)CC2)C=CC=C1Cl
VZGCIZBAKNLDRR-LNNLXFCONA-N,CHEMBL515535,1813,A,7.75,chembl20,494293,9606,DRD2,1171,C1=CC(=CC=2C1=NON2)C(NCCCCN3CCN(CC3)C4=C(C=CC=C4)OCCF)=O
ADAZZWTYEBRRHE-MPIMZMORNA-N,CHEMBL558838,1813,A,6.4,chembl20,578979,9606,DRD2,1171,N1=C(N(C)C)N=C2NC(=C(C2=C1)CN3CCN(CC3)C4=CC=CC=C4OC)C
HKFMQJUJWSFOLY-OAQYLSRUNA-N,6918388,1813,A,8.22185,pubchem,314105,9606,DRD2,1171,FC1=CC=C(C=2C=C(CNC[C@@H]3OC=4C(CC3)=CC=CC4)C=NC2)C=C1
RANYBZPZDFYJIV-QFBILLFUNA-N,CHEMBL604314,1813,A,6.36,chembl20,609909,9606,DRD2,1171,C1(=CC2=C(C=C1O)[C@@H]3[C@@H](N(CC2)C)CCC=4C3=CC=CC4O)Cl
HIRZFMOIKMLUHF-UHFFFAOYNA-N,44626929,1813,A,6.90001,pubchem,517697,9606,DRD2,1171,S(CCCN1CC2(C(C2)C1)C3=CC=C(C=C3)C(F)(F)F)C=4N(C(=NN4)C=5OC=NC5C)C
LVDRNYWTLKUNNT-UHFFFAOYNA-N,11857711,1813,A,6.7986,pubchem,290869,9606,DRD2,1171,ClC1=CC(S(=O)(=O)NC2CCC(N3CCC(CC3)C=4C(OC5CC5)=CC=CC4)CC2)=C(F)C=C1
YILNPRPYCRADTF-LQFNOIFHNA-N,CHEMBL197162,1813,A,7.68,chembl20,320855,9606,DRD2,1171,C1(=C(N2CCN(CC2)CCCCNC(C3=CN=C(C=C3)F)=O)C=CC=C1Cl)Cl
DFZQEPFGPDCJJF-OKPOJWAQNA-N,CHEMBL213278,1813,A,6.32,chembl20,391332,9606,DRD2,1171,C=1C=C2C(=CC1Cl)N=C(N3CCN(CC3)C)C4=C(N2NC(C=5C6=C(C=CN5)C=CC=C6)=O)C=CC=C4
GDLIGKIOYRNHDA-UHFFFAOYNA-N,CHEMBL415,1813,A,6.86,chembl20,774751,9606,DRD2,1171,N1(C=2C=C(Cl)C=CC2CCC3=C1C=CC=C3)CCCN(C)C
ZEHDEZWEFBOGNZ-UHFFFAOYNA-N,CHEMBL64283,1813,A,7.09,chembl20,60369,9606,DRD2,1171,C12=C(NC=C1)C=CC=C2OCCNCC3=CC=CC=C3
FILNNODWEJQCSQ-UHFFFAOYNA-N,CHEMBL1257385,1813,A,8.23,chembl20,664672,9606,DRD2,1171,C1(=CC2=CNC(=C2C=C1OCCCCN3CCN(CC3)C4=CC=CC=5C4=C(C=CC5)F)O)Cl
BHFFOJNXKRLMKR-UHFFFAOYNA-N,25069300,1813,A,7.86012,pubchem,516804,9606,DRD2,1171,FC1=C(OCCCN2CCN(CC2)C=3C=4C(C=CC3)=CC=CC4)C=CC=5C1=C(O)NC5
ATQMRMGXINTJHV-UHFFFAOYNA-N,CHEMBL281350,1813,A,6.0,chembl20,60541,9606,DRD2,1171,C=1C(=CC(=C(C1)C=2C=CC(=CC2)C(=O)N3CCC4=C3C=C5C(=C4)OCC56CCN(CC6)C)C)C7=NOC(=N7)C
XAJNHJMBQCJVMY-OKPOJWAQNA-N,CHEMBL103983,1813,A,7.39,chembl20,61298,9606,DRD2,1171,C1=2C=C(C(=O)NCCCC3=CC=CC=C3)NC1=CC=C4OCC(OC24)CNCCCC=5C=CC=CC5
WBZXILODXAKGQO-UHFFFAOYNA-N,CHEMBL246643,1813,A,7.68,chembl20,453340,9606,DRD2,1171,C1=CC=C2OC=C(C2=C1)CN3CCC(CC3)(C4=CC=C(C(=C4)Cl)Cl)O
AMIUKHHHHJYBCP-UHFFFAOYNA-N,120540,1813,A,6.32057,pubchem,662964,9606,DRD2,1171,N1(CCN(CC1)C2=CC=CC=C2)CCC3=CC=CC=C3
PBACHGGJZAASIQ-UHFFFAOYNA-N,CHEMBL134866,1813,A,6.74,chembl20,61782,9606,DRD2,1171,C1=CC=C2C(=C1OC)CCC(C2)N(C)C
SWGWJQBPCJEQJC-UHFFFAOYNA-N,CHEMBL313189,1813,A,5.02,chembl20,61645,9606,DRD2,1171,N12C(C3=C(C=CC=C3)CC4=C1C=CC=C4)CC(O2)CCN(C)C
WLHOVCQZTZDBFS-UHFFFAOYNA-N,CHEMBL2165673,1813,A,7.34,chembl20,860683,9606,DRD2,1171,C1=CC(=C(C(=C1)N2CCN(CC2)C)Cl)Cl
ASMHEURTLBOCKH-HZHRSRAPNA-N,CHEMBL241281,1813,A,5.62,chembl20,454685,9606,DRD2,1171,C1=CC=C2CCN(CC2=C1)/C=N/C3=CC4=C(C=C3)CCCC4OC(C)=O
LKTUCRCSDXSENT-RQNGWTAENA-N,CHEMBL1945034,1813,A,5.6,chembl20,800672,9606,DRD2,1171,C=1C=C([C@@H](O)CNCCC2=CC=C(C=C2)CNCCC=3C=CC=CN3)C=4SC(NC4C1O)=O
XJHVQDXRGJFCPP-PKRZOPRNNA-N,CHEMBL377584,1813,A,6.46,chembl20,391332,9606,DRD2,1171,C1=C(C=C2N=C(N3CCN(CC3)C)C=4C(N(NC(C5=CC(=CC=C5)I)=O)C2=C1)=CC=CC4)Cl
FMTZLPYHNXPXCD-UHFFFAOYNA-N,CHEMBL321058,1813,A,5.46,chembl20,60218,9606,DRD2,1171,N1(C(CN2CCN(CC2)CC3=CC=C(C=C3)Cl)=O)C4=C(C(C)=CC=C4)CC1
SCWHHXLTCHIVBS-HXTKINSTNA-N,CHEMBL2386613,1813,A,6.86,chembl20,962764,9606,DRD2,1171,C1=CC(=C(C=C1)OC)N2CCN(CCC2)CCCCNC(C=3NC4=C(C3)C=CC=C4)=O
INXHZFDLASUEAY-UHFFFAOYNA-N,CHEMBL272073,1813,A,5.96,chembl20,468370,9606,DRD2,1171,C1CN(CC2=CC=C(C=C2)OCCF)CCN1C=3C=CC(=CC3)Cl
BSOLCASXROXPRZ-MUKKUYKPNA-N,11186523,1813,A,7.92082,pubchem,239052,9606,DRD2,1171,S1C=2C([C@@H]3[C@H](O[C@H](C3)CN(C)C)C4=C1C=CC(F)=C4)=CC=CC2
FQUQVJCZFGUICL-PZJWPPBQNA-N,CHEMBL600986,1813,A,5.48,chembl20,609556,9606,DRD2,1171,C=1(C=C2C([C@@H]3[C@@H](N(CC2)C)CCC4=C3C=CC(=C4)NS(CC)(=O)=O)=CC1O)Cl
GTWOHZJMQWACQH-OAQYLSRUNA-N,CHEMBL2159489,1813,A,7.8,chembl20,855541,9606,DRD2,1171,C1(=CC=C(C=C1)F)S(=O)(N[C@H]2CN(CC2)CCOC=3C=CC=CC3C4=CC=CC=C4)=O
IKUNVINCAHHDMJ-UHFFFAOYNA-N,CHEMBL1277565,1813,A,5.65,chembl20,684962,9606,DRD2,1171,O=S(C1=NN(C2=CC=C(C=C12)N3CCNCC3)C)(C4=C5C(=CC=C4)C=CC=C5)=O
